product_id,customer_id,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,postcode,state,property_valuation
2,2950,1,1,0,0,0,0,71.49,53.62,19,0,0,3,0,1,10,3064,0,6
3,3120,0,1,1,0,0,1,2091.47,388.92,89,1,1,3,0,1,10,2196,1,5
37,402,1,1,2,0,1,0,1793.43,248.82,9,2,2,0,0,0,22,2835,1,1
88,3135,1,1,3,0,0,0,1198.46,381.1,83,3,0,3,0,0,16,2096,1,10
78,787,0,1,4,0,0,1,1765.3,709.48,29,4,2,0,0,1,2,2292,1,7
25,2339,0,1,4,1,0,0,1538.99,829.65,3,5,3,0,0,1,16,2153,1,10
22,1542,0,1,5,0,0,0,60.34,45.26,56,6,1,3,0,1,12,2155,1,10
15,2459,1,1,5,0,0,0,1292.84,13.44,67,7,4,2,0,0,18,4034,2,6
67,1305,1,1,0,0,0,1,1071.23,380.74,97,8,0,2,0,1,6,4124,2,4
12,3262,0,1,5,0,0,0,1231.15,161.6,65,9,5,3,0,0,12,4221,2,8
5,1986,1,1,1,2,1,0,574.64,459.71,53,4,2,3,0,0,16,2170,1,8
61,2783,0,1,2,0,1,0,71.16,56.93,14,10,2,0,0,1,7,2171,1,9
35,1243,0,1,1,0,1,0,1057.51,154.4,73,11,2,3,0,0,8,2155,1,11
16,2717,1,1,3,0,2,2,1661.92,1479.11,31,12,1,3,0,0,13,2580,1,5
12,247,1,1,4,0,0,1,1765.3,709.48,62,13,0,2,0,1,13,2283,1,4
3,2961,1,1,1,0,0,1,2091.47,388.92,56,14,1,3,0,1,12,3031,0,8
79,2426,1,1,3,0,0,0,1555.58,818.01,64,4,6,0,0,1,0,2145,1,10
33,1842,1,1,4,0,0,2,1311.44,1167.18,89,15,0,3,0,0,8,2250,1,8
54,2268,0,1,5,0,0,0,1292.84,13.44,66,16,1,3,0,0,19,3218,0,8
25,3002,0,1,4,1,0,0,1538.99,829.65,62,17,0,3,0,1,16,2470,1,2
27,1582,1,1,1,0,0,0,499.53,388.72,32,18,3,3,0,0,4,2101,1,11
37,595,0,1,2,0,1,0,1793.43,248.82,72,19,0,3,0,0,22,4305,2,4
37,2001,0,1,2,0,1,0,1793.43,248.82,21,20,4,3,0,1,3,2800,1,4
82,515,1,1,4,1,0,0,1538.99,829.65,55,21,6,2,0,0,8,2026,1,12
89,2822,1,1,5,3,0,1,1362.99,57.74,83,22,7,3,0,0,3,3124,0,12
64,2596,1,1,1,0,0,1,1469.44,596.55,51,23,7,0,0,1,13,2280,1,7
64,2666,0,1,1,0,0,1,1469.44,596.55,2,24,1,3,0,0,9,2151,1,8
19,76,1,1,1,2,1,0,574.64,459.71,20,25,2,2,0,1,18,4213,2,9
72,3368,0,1,3,0,0,0,360.4,270.3,7,26,0,0,0,0,16,2564,1,8
91,1173,1,1,5,0,1,0,642.31,513.85,58,27,2,2,0,0,16,2127,1,7
88,2810,0,1,3,0,0,0,1198.46,381.1,27,4,3,3,0,1,15,3141,0,8
1,3214,1,1,4,0,0,0,1403.5,954.82,2,28,0,3,0,1,9,4869,2,3
25,1272,1,1,4,1,0,0,1538.99,829.65,2,4,4,0,0,0,17,4503,2,5
99,2003,0,1,1,1,1,2,1720.7,1531.42,80,29,4,2,0,1,8,4500,2,7
0,2171,1,1,3,1,0,0,544.05,376.84,21,16,1,2,0,0,10,2138,1,9
92,3356,1,1,5,0,0,2,1415.01,1259.36,47,30,0,3,0,1,6,3121,0,8
14,1040,1,1,0,0,2,1,1842.92,1105.75,78,6,1,2,0,0,9,4556,2,8
2,2916,1,1,0,0,0,0,71.49,53.62,23,9,4,0,0,1,9,4220,2,8
12,427,1,1,5,0,0,0,1231.15,161.6,77,31,5,3,0,1,2,2065,1,11
0,2448,0,1,3,1,0,0,544.05,376.84,5,32,3,2,0,0,10,2219,1,10
44,2570,0,1,5,0,0,0,1769.64,108.76,13,22,0,3,0,1,18,4812,2,3
79,3398,1,1,0,3,0,1,2083.94,675.03,69,4,7,2,0,1,7,2147,1,9
76,488,1,0,5,0,1,0,642.31,513.85,24,21,3,3,0,1,10,3564,3,2
46,165,1,1,0,0,1,0,1289.85,74.51,61,33,8,3,0,1,12,2032,1,10
55,2787,0,1,1,1,0,1,1894.19,598.76,92,34,7,0,0,1,6,3018,0,9
66,3053,1,1,0,0,0,0,1163.89,589.27,67,35,2,2,0,0,17,2428,1,5
35,475,0,1,1,0,1,0,1057.51,154.4,0,36,4,0,0,0,1,3012,3,10
81,1305,0,1,0,0,0,0,1151.96,649.49,97,8,0,2,0,1,6,4124,2,4
86,1251,1,1,2,0,0,0,235.63,125.07,63,2,3,3,0,0,2,4519,2,6
32,3103,1,1,4,0,0,0,642.7,211.37,5,30,2,3,0,0,20,4014,2,7
77,3108,1,1,3,1,0,1,1240.31,795.1,94,37,5,3,0,0,10,4670,2,2
96,857,1,1,4,0,0,1,1635.3,993.66,15,38,7,2,0,0,4,4122,2,4
6,3455,0,1,2,0,2,0,227.88,136.73,29,33,7,3,0,1,11,4670,2,4
27,2549,0,1,1,0,0,0,499.53,388.72,12,16,1,3,0,1,4,2323,1,9
0,3140,1,1,3,0,1,0,363.01,290.41,2,39,4,2,0,0,16,2040,1,10
47,3406,1,1,1,1,1,2,1720.7,1531.42,35,40,6,3,0,1,10,2096,1,9
94,2294,0,1,4,0,0,1,1635.3,993.66,25,41,4,3,0,0,21,4017,2,5
91,1031,1,1,0,0,0,0,100.35,75.26,75,42,4,3,0,0,6,4053,2,7
93,993,0,1,2,0,2,0,1458.17,874.9,71,35,8,2,0,0,17,2871,1,3
60,3473,1,1,4,0,2,2,1977.36,1759.85,34,20,6,3,0,0,0,3803,0,7
0,1839,1,1,2,1,2,1,12.01,7.21,60,43,5,2,0,1,5,4152,2,8
33,1824,0,1,4,0,0,2,1311.44,1167.18,12,44,4,0,0,1,5,3048,0,6
35,368,1,1,4,0,0,0,1403.5,954.82,32,4,0,2,0,0,6,4127,2,6
0,2000,1,1,1,0,0,0,499.53,388.72,68,23,6,2,0,1,0,2147,1,8
28,825,0,1,3,0,0,2,1216.14,1082.36,17,45,7,0,0,1,16,2066,1,12
86,3315,0,1,2,0,0,0,235.63,125.07,77,46,3,3,0,1,5,3862,0,7
2,75,0,1,0,0,0,0,71.49,53.62,28,47,3,3,0,0,19,2756,4,8
4,1498,0,1,4,0,2,0,1129.13,677.48,84,48,7,0,0,1,13,2250,1,9
38,1612,0,1,1,0,0,1,2091.47,388.92,70,49,0,2,0,1,22,2441,1,4
27,2192,0,1,1,0,0,0,499.53,388.72,93,13,7,3,0,0,14,4815,2,1
54,419,1,1,5,0,0,0,1292.84,13.44,34,19,4,0,0,0,17,4223,2,8
77,3307,0,1,5,0,0,0,1769.64,108.76,96,50,1,2,0,0,14,4740,2,2
22,2430,1,1,5,0,0,0,60.34,45.26,38,7,7,3,0,0,5,2040,1,10
56,1506,0,1,2,0,0,0,183.86,137.9,21,4,3,3,0,0,17,2223,1,8
58,1346,1,1,2,0,0,0,912.52,141.4,9,51,9,3,0,0,19,3620,0,4
22,927,1,1,5,0,0,0,60.34,45.26,25,52,0,3,0,1,18,3199,0,8
50,763,1,1,5,0,0,2,175.89,131.92,95,45,4,0,0,0,12,2143,1,5
80,2397,1,1,2,3,1,0,1073.07,933.84,33,50,2,0,0,1,4,2142,1,7
87,102,0,1,4,0,2,0,1179,707.4,51,53,4,0,0,0,16,2168,4,9
15,2884,1,1,3,0,1,0,958.74,748.9,99,23,7,3,0,0,15,2777,1,9
84,759,0,1,4,1,0,0,792.9,594.68,89,1,1,2,0,0,13,2227,1,10
21,773,0,1,0,0,0,1,1071.23,380.74,77,4,0,0,0,1,20,4305,2,3
0,3398,0,1,2,0,0,0,235.63,125.07,69,4,7,2,0,1,7,2147,1,9
